PROVINSI,JENIS_TANAMAN,LUAS_PANEN(Hektar),LUAS_SAWAH(Hektar),SUHU(C),CURAH_HUJAN(mm),PRODUKSI(ton),TAHUN
JAMBI,6,3076.00,113379.00,"26,7","1 874,00",80057.00,2012
SUMATERA SELATAN,6,2475.00,610314.00,"27,4","3 083,00",17380.00,2012
BENGKULU,6,3855.00,88877.00,"26,9","2 545,00",37271.00,2012
LAMPUNG,6,4849.00,364111.00,"26,8","1 685,00",47408.00,2012
KEP. BANGKA BELITUNG,6,354.00,6133.00,27,"2 018,00",3303.00,2012
KEP. RIAU,6,246.00,559.00,"26,8","3 253,00",1916.00,2012
DKI JAKARTA,6,-,1001.00,"28,1","1 570,00",-,2012
JAWA BARAT,6,26531.00,923575.00,"23,4","2 510,00",436577.00,2012
JAWA TENGAH,6,8000.00,962289.00,28,"2 248,00",166978.00,2012
DI YOGYAKARTA,6,440.00,55023.00,"26,6","2 014,00",5047.00,2012
JAWA TIMUR,6,14264.00,1105550.00,28,"1 389,00",411957.00,2012
BANTEN,6,2564.00,195951.00,"27,1","1 197,00",32756.00,2012
BALI,6,5619.00,79399.00,"26,9","1 849,00",62352.00,2012
NUSA TENGGARA BARAT,6,1100.00,246569.00,"25,8","2 137,00",13232.00,2012
NUSA TENGGARA TIMUR,6,18604.00,148810.00,"27,2","1 211,00",151864.00,2012
KALIMANTAN BARAT,6,1742.00,322541.00,"27,1","3 081,00",15169.00,2012
KALIMANTAN TENGAH,6,1339.00,226903.00,"27,3","2 596,00",9525.00,2012
KALIMANTAN SELATAN,6,1644.00,451869.00,"26,6","2 486,00",19608.00,2012
KALIMANTAN TIMUR,6,1682.00,90887.00,28,"2 421,00",16367.00,2012
KALIMANTAN UTARA,6,-,-,,,-,2012
SULAWESI UTARA,6,4216.00,56173.00,"26,1","3 013,00",41227.00,2012
SULAWESI TENGAH,6,2516.00,143475.00,"27,7",760,26932.00,2012
SULAWESI SELATAN,6,6774.00,592376.00,27,"2 493,00",94474.00,2012
SULAWESI TENGGARA,6,3434.00,92280.00,,,29411.00,2012
GORONTALO,6,202.00,30728.00,27,"1 775,00",2002.00,2012
SULAWESI BARAT,6,1483.00,59020.00,"27,6","1 087,00",16589.00,2012
MALUKU,6,1982.00,15972.00,"26,4","5 041,00",19411.00,2012
MALUKU UTARA,6,3836.00,9359.00,,,34661.00,2012
PAPUA BARAT,6,1029.00,8330.00,"27,2","3 290,00",10647.00,2012
PAPUA,6,33071.00,27756.00,27,"1 916,00",345095.00,2012
ACEH,0,419183.00,300808.00,27,"1 623,60",1956940.00,2013
SUMATERA UTARA,0,742968.00,438346.00,"28,8","2 627,00",3727249.00,2013
SUMATERA BARAT,0,487820.00,224182.00,"25,1","4 627,40",2430384.00,2013
RIAU,0,118518.00,93338.00,26,"2 628,70",434144.00,2013
JAMBI,0,153243.00,113546.00,"26,8","2 093,60",664535.00,2013
SUMATERA SELATAN,0,800036.00,612424.00,"27,3","3 409,20",3676723.00,2013
BENGKULU,0,147680.00,93382.00,"26,7","3 980,90",622832.00,2013
LAMPUNG,0,638090.00,360237.00,"26,7","2 456,70",3207002.00,2013
KEP. BANGKA BELITUNG,0,10232.00,5358.00,27,"2 839,20",28480.00,2013
KEP. RIAU,0,379.00,487.00,"26,8","3 389,40",1370.00,2013
DKI JAKARTA,0,1744.00,895.00,"28,2","2 524,60",10268.00,2013
JAWA BARAT,0,2029891.00,925042.00,"23,5","2 682,00",12083162.00,2013
JAWA TENGAH,0,1845447.00,952980.00,28,"2 628,00",10344816.00,2013
DI YOGYAKARTA,0,159266.00,55126.00,"26,2","2 309,00",921824.00,2013
JAWA TIMUR,0,2037021.00,1102921.00,"27,9","2 270,00",12049342.00,2013
BANTEN,0,393704.00,194716.00,27,"3 573,00",2083608.00,2013
BALI,0,150380.00,78425.00,"27,4","2 155,10",882092.00,2013
NUSA TENGGARA BARAT,0,438057.00,253208.00,"28,3","2 098,90",2193698.00,2013
NUSA TENGGARA TIMUR,0,222469.00,169063.00,"27,5","2 149,00",729666.00,2013
KALIMANTAN BARAT,0,464898.00,330883.00,"26,9","3 382,00",1441876.00,2013
KALIMANTAN TENGAH,0,247473.00,225836.00,"27,4","3 259,50",812652.00,2013
KALIMANTAN SELATAN,0,479721.00,440429.00,"26,7","3 006,00",2031029.00,2013
KALIMANTAN TIMUR,0,102912.00,63323.00,"27,4","2 854,10",439439.00,2013
KALIMANTAN UTARA,0,35926.00,21762.00,"27,4","3 154,00",124724.00,2013
SULAWESI UTARA,0,127413.00,56157.00,"26,4","3 719,80",638373.00,2013
SULAWESI TENGAH,0,224326.00,146721.00,"26,7","905,7",1031364.00,2013
SULAWESI SELATAN,0,983107.00,602728.00,"27,2","3 973,00",5035830.00,2013
SULAWESI TENGGARA,0,132945.00,95378.00,27,"2 618,80",561361.00,2013
GORONTALO,0,56894.00,32239.00,27,"1 775,00",295913.00,2013
SULAWESI BARAT,0,91195.00,61070.00,"27,6","1 682,20",445030.00,2013
MALUKU,0,24399.00,15042.00,,,101835.00,2013
MALUKU UTARA,0,19281.00,10510.00,27,"2 713,00",72445.00,2013
PAPUA BARAT,0,7523.00,9587.00,"27,3","3 419,10",29912.00,2013
PAPUA,0,41111.00,42350.00,"27,9","4 033,00",169791.00,2013
ACEH,1,44099.00,300808.00,27,"1 623,60",177842.00,2013
SUMATERA UTARA,1,211750.00,438346.00,"28,8","2 627,00",1183011.00,2013
SUMATERA BARAT,1,81665.00,224182.00,"25,1","4 627,40",547417.00,2013
RIAU,1,11748.00,93338.00,26,"2 628,70",28052.00,2013
JAMBI,1,6504.00,113546.00,"26,8","2 093,60",25690.00,2013
SUMATERA SELATAN,1,32558.00,612424.00,"27,3","3 409,20",167457.00,2013
BENGKULU,1,18257.00,93382.00,"26,7","3 980,90",93988.00,2013
LAMPUNG,1,346315.00,360237.00,"26,7","2 456,70",1760278.00,2013
KEP. BANGKA BELITUNG,1,234.00,5358.00,27,"2 839,20",783.00,2013
KEP. RIAU,1,339.00,487.00,"26,8","3 389,40",790.00,2013
DKI JAKARTA,1,-,895.00,"28,2","2 524,60",-,2013
JAWA BARAT,1,152923.00,925042.00,"23,5","2 682,00",1101998.00,2013
JAWA TENGAH,1,532061.00,952980.00,28,"2 628,00",2930911.00,2013
DI YOGYAKARTA,1,70772.00,55126.00,"26,2","2 309,00",289580.00,2013
JAWA TIMUR,1,1199544.00,1102921.00,"27,9","2 270,00",5760959.00,2013
BANTEN,1,3583.00,194716.00,27,"3 573,00",12038.00,2013
BALI,1,18223.00,78425.00,"27,4","2 155,10",57573.00,2013
NUSA TENGGARA BARAT,1,110273.00,253208.00,"28,3","2 098,90",633773.00,2013
NUSA TENGGARA TIMUR,1,270394.00,169063.00,"27,5","2 149,00",707642.00,2013
KALIMANTAN BARAT,1,42621.00,330883.00,"26,9","3 382,00",159973.00,2013
KALIMANTAN TENGAH,1,2062.00,225836.00,"27,4","3 259,50",6217.00,2013
KALIMANTAN SELATAN,1,20629.00,440429.00,"26,7","3 006,00",107043.00,2013
KALIMANTAN TIMUR,1,1858.00,63323.00,"27,4","2 854,10",4864.00,2013
KALIMANTAN UTARA,1,445.00,21762.00,"27,4","3 154,00",973.00,2013
SULAWESI UTARA,1,122237.00,56157.00,"26,4","3 719,80",448002.00,2013
SULAWESI TENGAH,1,34174.00,146721.00,"26,7","905,7",139266.00,2013
SULAWESI SELATAN,1,274046.00,602728.00,"27,2","3 973,00",1250202.00,2013
SULAWESI TENGGARA,1,27133.00,95378.00,27,"2 618,80",67578.00,2013
GORONTALO,1,140423.00,32239.00,27,"1 775,00",669094.00,2013
SULAWESI BARAT,1,26781.00,61070.00,"27,6","1 682,20",128327.00,2013
MALUKU,1,3203.00,15042.00,,,11940.00,2013
MALUKU UTARA,1,10395.00,10510.00,27,"2 713,00",29421.00,2013
PAPUA BARAT,1,1250.00,9587.00,"27,3","3 419,10",2137.00,2013
PAPUA,1,3005.00,42350.00,"27,9","4 033,00",7034.00,2013
ACEH,2,30579.00,300808.00,27,"1 623,60",45027.00,2013
SUMATERA UTARA,2,3126.00,438346.00,"28,8","2 627,00",3229.00,2013
SUMATERA BARAT,2,690.00,224182.00,"25,1","4 627,40",732.00,2013
RIAU,2,1949.00,93338.00,26,"2 628,70",2211.00,2013
JAMBI,2,1877.00,113546.00,"26,8","2 093,60",2372.00,2013
SUMATERA SELATAN,2,3564.00,612424.00,"27,3","3 409,20",5140.00,2013
BENGKULU,2,3720.00,93382.00,"26,7","3 980,90",3987.00,2013
LAMPUNG,2,4986.00,360237.00,"26,7","2 456,70",6156.00,2013
KEP. BANGKA BELITUNG,2,-,5358.00,27,"2 839,20",-,2013
KEP. RIAU,2,17.00,487.00,"26,8","3 389,40",18.00,2013
DKI JAKARTA,2,-,895.00,"28,2","2 524,60",-,2013
JAWA BARAT,2,35682.00,925042.00,"23,5","2 682,00",51172.00,2013
JAWA TENGAH,2,65278.00,952980.00,28,"2 628,00",99318.00,2013
DI YOGYAKARTA,2,23290.00,55126.00,"26,2","2 309,00",31677.00,2013
JAWA TIMUR,2,210618.00,1102921.00,"27,9","2 270,00",329461.00,2013
BANTEN,2,7928.00,194716.00,27,"3 573,00",10326.00,2013
BALI,2,5605.00,78425.00,"27,4","2 155,10",7433.00,2013
NUSA TENGGARA BARAT,2,86882.00,253208.00,"28,3","2 098,90",91065.00,2013
NUSA TENGGARA TIMUR,2,1778.00,169063.00,"27,5","2 149,00",1675.00,2013
KALIMANTAN BARAT,2,1203.00,330883.00,"26,9","3 382,00",1677.00,2013
KALIMANTAN TENGAH,2,1413.00,225836.00,"27,4","3 259,50",1684.00,2013
KALIMANTAN SELATAN,2,3038.00,440429.00,"26,7","3 006,00",4072.00,2013
KALIMANTAN TIMUR,2,963.00,63323.00,"27,4","2 854,10",1402.00,2013
KALIMANTAN UTARA,2,84.00,21762.00,"27,4","3 154,00",84.00,2013
SULAWESI UTARA,2,4325.00,56157.00,"26,4","3 719,80",5780.00,2013
SULAWESI TENGAH,2,7642.00,146721.00,"26,7","905,7",12654.00,2013
SULAWESI SELATAN,2,30937.00,602728.00,"27,2","3 973,00",45693.00,2013
SULAWESI TENGGARA,2,3735.00,95378.00,27,"2 618,80",3595.00,2013
GORONTALO,2,3367.00,32239.00,27,"1 775,00",4411.00,2013
SULAWESI BARAT,2,942.00,61070.00,"27,6","1 682,20",1181.00,2013
MALUKU,2,203.00,15042.00,,,254.00,2013
MALUKU UTARA,2,1005.00,10510.00,27,"2 713,00",1227.00,2013
PAPUA BARAT,2,617.00,9587.00,"27,3","3 419,10",669.00,2013
PAPUA,2,3750.00,42350.00,"27,9","4 033,00",4610.00,2013
ACEH,3,3118.00,300808.00,27,"1 623,60",3861.00,2013
SUMATERA UTARA,3,9377.00,438346.00,"28,8","2 627,00",11351.00,2013
SUMATERA BARAT,3,5904.00,224182.00,"25,1","4 627,40",9093.00,2013
RIAU,3,1325.00,93338.00,26,"2 628,70",1243.00,2013
JAMBI,3,1161.00,113546.00,"26,8","2 093,60",1513.00,2013
SUMATERA SELATAN,3,2547.00,612424.00,"27,3","3 409,20",3475.00,2013
BENGKULU,3,4370.00,93382.00,"26,7","3 980,90",4679.00,2013
LAMPUNG,3,8305.00,360237.00,"26,7","2 456,70",10676.00,2013
KEP. BANGKA BELITUNG,3,341.00,5358.00,27,"2 839,20",357.00,2013
KEP. RIAU,3,169.00,487.00,"26,8","3 389,40",168.00,2013
DKI JAKARTA,3,-,895.00,"28,2","2 524,60",-,2013
JAWA BARAT,3,54346.00,925042.00,"23,5","2 682,00",91573.00,2013
JAWA TENGAH,3,92454.00,952980.00,28,"2 628,00",128030.00,2013
DI YOGYAKARTA,3,65680.00,55126.00,"26,2","2 309,00",70834.00,2013
JAWA TIMUR,3,150017.00,1102921.00,"27,9","2 270,00",207971.00,2013
BANTEN,3,9273.00,194716.00,27,"3 573,00",12810.00,2013
BALI,3,8500.00,78425.00,"27,4","2 155,10",11024.00,2013
NUSA TENGGARA BARAT,3,30772.00,253208.00,"28,3","2 098,90",41889.00,2013
NUSA TENGGARA TIMUR,3,13880.00,169063.00,"27,5","2 149,00",16056.00,2013
KALIMANTAN BARAT,3,1111.00,330883.00,"26,9","3 382,00",1316.00,2013
KALIMANTAN TENGAH,3,564.00,225836.00,"27,4","3 259,50",634.00,2013
KALIMANTAN SELATAN,3,9148.00,440429.00,"26,7","3 006,00",11238.00,2013
KALIMANTAN TIMUR,3,1105.00,63323.00,"27,4","2 854,10",1451.00,2013
KALIMANTAN UTARA,3,225.00,21762.00,"27,4","3 154,00",234.00,2013
SULAWESI UTARA,3,6712.00,56157.00,"26,4","3 719,80",8805.00,2013
SULAWESI TENGAH,3,3971.00,146721.00,"26,7","905,7",7303.00,2013
SULAWESI SELATAN,3,18812.00,602728.00,"27,2","3 973,00",28408.00,2013
SULAWESI TENGGARA,3,6547.00,95378.00,27,"2 618,80",4942.00,2013
GORONTALO,3,956.00,32239.00,27,"1 775,00",1282.00,2013
SULAWESI BARAT,3,482.00,61070.00,"27,6","1 682,20",590.00,2013
MALUKU,3,1264.00,15042.00,,,1426.00,2013
MALUKU UTARA,3,4069.00,10510.00,27,"2 713,00",4755.00,2013
PAPUA BARAT,3,600.00,9587.00,"27,3","3 419,10",649.00,2013
PAPUA,3,1951.00,42350.00,"27,9","4 033,00",2044.00,2013
ACEH,4,903.00,300808.00,27,"1 623,60",955.00,2013
SUMATERA UTARA,4,2130.00,438346.00,"28,8","2 627,00",2344.00,2013
SUMATERA BARAT,4,608.00,224182.00,"25,1","4 627,40",753.00,2013
RIAU,4,585.00,93338.00,26,"2 628,70",619.00,2013
JAMBI,4,230.00,113546.00,"26,8","2 093,60",262.00,2013
SUMATERA SELATAN,4,1332.00,612424.00,"27,3","3 409,20",1821.00,2013
BENGKULU,4,1384.00,93382.00,"26,7","3 980,90",1371.00,2013
LAMPUNG,4,2941.00,360237.00,"26,7","2 456,70",2643.00,2013
KEP. BANGKA BELITUNG,4,-,5358.00,27,"2 839,20",-,2013
KEP. RIAU,4,-,487.00,"26,8","3 389,40",-,2013
DKI JAKARTA,4,-,895.00,"28,2","2 524,60",-,2013
JAWA BARAT,4,9121.00,925042.00,"23,5","2 682,00",11002.00,2013
JAWA TENGAH,4,57941.00,952980.00,28,"2 628,00",64277.00,2013
DI YOGYAKARTA,4,552.00,55126.00,"26,2","2 309,00",318.00,2013
JAWA TIMUR,4,48845.00,1102921.00,"27,9","2 270,00",57686.00,2013
BANTEN,4,822.00,194716.00,27,"3 573,00",672.00,2013
BALI,4,1129.00,78425.00,"27,4","2 155,10",1186.00,2013
NUSA TENGGARA BARAT,4,19374.00,253208.00,"28,3","2 098,90",22079.00,2013
NUSA TENGGARA TIMUR,4,11869.00,169063.00,"27,5","2 149,00",10139.00,2013
KALIMANTAN BARAT,4,733.00,330883.00,"26,9","3 382,00",553.00,2013
KALIMANTAN TENGAH,4,127.00,225836.00,"27,4","3 259,50",105.00,2013
KALIMANTAN SELATAN,4,703.00,440429.00,"26,7","3 006,00",757.00,2013
KALIMANTAN TIMUR,4,349.00,63323.00,"27,4","2 854,10",373.00,2013
KALIMANTAN UTARA,4,70.00,21762.00,"27,4","3 154,00",72.00,2013
SULAWESI UTARA,4,1218.00,56157.00,"26,4","3 719,80",1541.00,2013
SULAWESI TENGAH,4,1009.00,146721.00,"26,7","905,7",839.00,2013
SULAWESI SELATAN,4,14226.00,602728.00,"27,2","3 973,00",18341.00,2013
SULAWESI TENGGARA,4,1342.00,95378.00,27,"2 618,80",1083.00,2013
GORONTALO,4,139.00,32239.00,27,"1 775,00",182.00,2013
SULAWESI BARAT,4,452.00,61070.00,"27,6","1 682,20",615.00,2013
MALUKU,4,841.00,15042.00,,,889.00,2013
MALUKU UTARA,4,278.00,10510.00,27,"2 713,00",324.00,2013
PAPUA BARAT,4,173.00,9587.00,"27,3","3 419,10",187.00,2013
PAPUA,4,649.00,42350.00,"27,9","4 033,00",682.00,2013
ACEH,5,2725.00,300808.00,27,"1 623,60",34738.00,2013
SUMATERA UTARA,5,47141.00,438346.00,"28,8","2 627,00",1518221.00,2013
SUMATERA BARAT,5,5503.00,224182.00,"25,1","4 627,40",218830.00,2013
RIAU,5,3863.00,93338.00,26,"2 628,70",103070.00,2013
JAMBI,5,2274.00,113546.00,"26,8","2 093,60",33291.00,2013
SUMATERA SELATAN,5,9397.00,612424.00,"27,3","3 409,20",165250.00,2013
BENGKULU,5,4861.00,93382.00,"26,7","3 980,90",62193.00,2013
LAMPUNG,5,318107.00,360237.00,"26,7","2 456,70",8329201.00,2013
KEP. BANGKA BELITUNG,5,795.00,5358.00,27,"2 839,20",14203.00,2013
KEP. RIAU,5,715.00,487.00,"26,8","3 389,40",8530.00,2013
DKI JAKARTA,5,-,895.00,"28,2","2 524,60",-,2013
JAWA BARAT,5,95505.00,925042.00,"23,5","2 682,00",2138532.00,2013
JAWA TENGAH,5,161783.00,952980.00,28,"2 628,00",4089635.00,2013
DI YOGYAKARTA,5,58777.00,55126.00,"26,2","2 309,00",1013565.00,2013
JAWA TIMUR,5,168194.00,1102921.00,"27,9","2 270,00",3601074.00,2013
BANTEN,5,6391.00,194716.00,27,"3 573,00",97847.00,2013
BALI,5,9085.00,78425.00,"27,4","2 155,10",156953.00,2013
NUSA TENGGARA BARAT,5,3866.00,253208.00,"28,3","2 098,90",59085.00,2013
NUSA TENGGARA TIMUR,5,79164.00,169063.00,"27,5","2 149,00",811166.00,2013
KALIMANTAN BARAT,5,10821.00,330883.00,"26,9","3 382,00",168521.00,2013
KALIMANTAN TENGAH,5,3406.00,225836.00,"27,4","3 259,50",40762.00,2013
KALIMANTAN SELATAN,5,4902.00,440429.00,"26,7","3 006,00",87323.00,2013
KALIMANTAN TIMUR,5,2809.00,63323.00,"27,4","2 854,10",55519.00,2013
KALIMANTAN UTARA,5,2111.00,21762.00,"27,4","3 154,00",32935.00,2013
SULAWESI UTARA,5,4239.00,56157.00,"26,4","3 719,80",55207.00,2013
SULAWESI TENGAH,5,4844.00,146721.00,"26,7","905,7",100950.00,2013
SULAWESI SELATAN,5,24720.00,602728.00,"27,2","3 973,00",433399.00,2013
SULAWESI TENGGARA,5,8974.00,95378.00,27,"2 618,80",180680.00,2013
GORONTALO,5,364.00,32239.00,27,"1 775,00",4537.00,2013
SULAWESI BARAT,5,2085.00,61070.00,"27,6","1 682,20",52972.00,2013
MALUKU,5,4794.00,15042.00,,,97813.00,2013
MALUKU UTARA,5,9284.00,10510.00,27,"2 713,00",119799.00,2013
PAPUA BARAT,5,1082.00,9587.00,"27,3","3 419,10",12219.00,2013
PAPUA,5,3171.00,42350.00,"27,9","4 033,00",38901.00,2013
ACEH,6,1094.00,300808.00,27,"1 623,60",11602.00,2013
SUMATERA UTARA,6,9101.00,438346.00,"28,8","2 627,00",116671.00,2013
SUMATERA BARAT,6,4530.00,224182.00,"25,1","4 627,40",134453.00,2013
RIAU,6,1028.00,93338.00,26,"2 628,70",8462.00,2013
JAMBI,6,2670.00,113546.00,"26,8","2 093,60",68187.00,2013
SUMATERA SELATAN,6,1922.00,612424.00,"27,3","3 409,20",15945.00,2013
BENGKULU,6,3277.00,93382.00,"26,7","3 980,90",31672.00,2013
LAMPUNG,6,4630.00,360237.00,"26,7","2 456,70",45141.00,2013
KEP. BANGKA BELITUNG,6,365.00,5358.00,27,"2 839,20",2863.00,2013
KEP. RIAU,6,237.00,487.00,"26,8","3 389,40",1891.00,2013
DKI JAKARTA,6,-,895.00,"28,2","2 524,60",-,2013
JAWA BARAT,6,26635.00,925042.00,"23,5","2 682,00",485065.00,2013
JAWA TENGAH,6,10011.00,952980.00,28,"2 628,00",183694.00,2013
DI YOGYAKARTA,6,419.00,55126.00,"26,2","2 309,00",4951.00,2013
JAWA TIMUR,6,19139.00,1102921.00,"27,9","2 270,00",393199.00,2013
BANTEN,6,2125.00,194716.00,27,"3 573,00",27972.00,2013
BALI,6,5119.00,78425.00,"27,4","2 155,10",60755.00,2013
NUSA TENGGARA BARAT,6,866.00,253208.00,"28,3","2 098,90",11335.00,2013
NUSA TENGGARA TIMUR,6,9992.00,169063.00,"27,5","2 149,00",78944.00,2013
KALIMANTAN BARAT,6,1818.00,330883.00,"26,9","3 382,00",15296.00,2013
KALIMANTAN TENGAH,6,1292.00,225836.00,"27,4","3 259,50",9201.00,2013
KALIMANTAN SELATAN,6,1336.00,440429.00,"26,7","3 006,00",16534.00,2013
KALIMANTAN TIMUR,6,1269.00,63323.00,"27,4","2 854,10",12993.00,2013
KALIMANTAN UTARA,6,358.00,21762.00,"27,4","3 154,00",3133.00,2013
SULAWESI UTARA,6,4059.00,56157.00,"26,4","3 719,80",39800.00,2013
SULAWESI TENGAH,6,2001.00,146721.00,"26,7","905,7",21550.00,2013
SULAWESI SELATAN,6,4809.00,602728.00,"27,2","3 973,00",70767.00,2013
SULAWESI TENGGARA,6,2882.00,95378.00,27,"2 618,80",24113.00,2013
GORONTALO,6,201.00,32239.00,27,"1 775,00",2007.00,2013
SULAWESI BARAT,6,803.00,61070.00,"27,6","1 682,20",11486.00,2013
MALUKU,6,1796.00,15042.00,,,19602.00,2013
MALUKU UTARA,6,3743.00,10510.00,27,"2 713,00",37024.00,2013
PAPUA BARAT,6,1343.00,9587.00,"27,3","3 419,10",14901.00,2013
PAPUA,6,30980.00,42350.00,"27,9","4 033,00",405520.00,2013
ACEH,0,376137.00,294129.00,"27,1","2 264,40",1820062.00,2014
SUMATERA UTARA,0,717318.00,433043.00,"27,9","2 148,00",3631039.00,2014
SUMATERA BARAT,0,503198.00,225890.00,"25,7","2 838,40",2519020.00,2014
RIAU,0,106037.00,87594.00,"27,2","2 343,70",385475.00,2014
JAMBI,0,145990.00,101195.00,"27,2","1 781,00",664720.00,2014
SUMATERA SELATAN,0,810900.00,616753.00,"24,2","1 668,30",3670435.00,2014
BENGKULU,0,147572.00,88756.00,"26,9","3 323,00",593194.00,2014
LAMPUNG,0,648731.00,363055.00,"25,8","1 682,50",3320064.00,2014
KEP. BANGKA BELITUNG,0,9943.00,7490.00,"27,2","1 675,00",23481.00,2014
KEP. RIAU,0,385.00,405.00,"27,1","3 064,00",1403.00,2014
DKI JAKARTA,0,1400.00,778.00,"28,4","2 908,00",7541.00,2014
JAWA BARAT,0,1979799.00,924307.00,"23,4","2 388,00",11644899.00,2014
JAWA TENGAH,0,1800908.00,966647.00,28,"2 628,00",9648104.00,2014
DI YOGYAKARTA,0,158903.00,54417.00,"26,3","2 025,90",919573.00,2014
JAWA TIMUR,0,2072630.00,1101765.00,28,"1 980,20",12397049.00,2014
BANTEN,0,386398.00,200480.00,"27,3","1 521,00",2045883.00,2014
BALI,0,142697.00,76655.00,"27,4","1 640,60",857944.00,2014
NUSA TENGGARA BARAT,0,433712.00,254298.00,,"1 563,90",2116637.00,2014
NUSA TENGGARA TIMUR,0,246750.00,172954.00,"27,4","1 415,60",825728.00,2014
KALIMANTAN BARAT,0,452242.00,323959.00,"26,8","2 755,10",1372695.00,2014
KALIMANTAN TENGAH,0,242488.00,215545.00,"27,4","2 853,90",838207.00,2014
KALIMANTAN SELATAN,0,498133.00,431437.00,"26,8","2 371,00",2094590.00,2014
KALIMANTAN TIMUR,0,100262.00,55485.00,"27,7","2 422,30",426567.00,2014
KALIMANTAN UTARA,0,32072.00,21775.00,"27,4","2 654,60",115620.00,2014
SULAWESI UTARA,0,130428.00,60475.00,"26,6","2 835,00",637927.00,2014
SULAWESI TENGAH,0,219613.00,141448.00,"26,7","705,1",1022054.00,2014
SULAWESI SELATAN,0,1040024.00,623139.00,"27,2","2 739,00",5426097.00,2014
SULAWESI TENGGARA,0,140408.00,96826.00,"26,8","2 263,60",657617.00,2014
GORONTALO,0,62690.00,32116.00,"26,7","1 404,30",314704.00,2014
SULAWESI BARAT,0,94351.00,62312.00,"27,9","1 096,80",449621.00,2014
MALUKU,0,21623.00,13519.00,"26,6","2 593,00",102761.00,2014
MALUKU UTARA,0,21192.00,10516.00,27,"1 811,00",72074.00,2014
PAPUA BARAT,0,6880.00,9587.00,"27,5","2 824,60",27665.00,2014
PAPUA,0,45493.00,42843.00,"28,1","2 731,00",196015.00,2014
ACEH,1,47357.00,294129.00,"27,1","2 264,40",202318.00,2014
SUMATERA UTARA,1,200603.00,433043.00,"27,9","2 148,00",1159795.00,2014
SUMATERA BARAT,1,93097.00,225890.00,"25,7","2 838,40",605352.00,2014
RIAU,1,12057.00,87594.00,"27,2","2 343,70",28651.00,2014
JAMBI,1,7937.00,101195.00,"27,2","1 781,00",43617.00,2014
SUMATERA SELATAN,1,31939.00,616753.00,"24,2","1 668,30",191974.00,2014
BENGKULU,1,15643.00,88756.00,"26,9","3 323,00",72756.00,2014
LAMPUNG,1,338885.00,363055.00,"25,8","1 682,50",1719386.00,2014
KEP. BANGKA BELITUNG,1,214.00,7490.00,"27,2","1 675,00",721.00,2014
KEP. RIAU,1,301.00,405.00,"27,1","3 064,00",703.00,2014
DKI JAKARTA,1,0.00,778.00,"28,4","2 908,00",0.00,2014
JAWA BARAT,1,142964.00,924307.00,"23,4","2 388,00",1047077.00,2014
JAWA TENGAH,1,538102.00,966647.00,28,"2 628,00",3051516.00,2014
DI YOGYAKARTA,1,67657.00,54417.00,"26,3","2 025,90",312236.00,2014
JAWA TIMUR,1,1202300.00,1101765.00,28,"1 980,20",5737382.00,2014
BANTEN,1,3152.00,200480.00,"27,3","1 521,00",10514.00,2014
BALI,1,16685.00,76655.00,"27,4","1 640,60",40613.00,2014
NUSA TENGGARA BARAT,1,126577.00,254298.00,,"1 563,90",785864.00,2014
NUSA TENGGARA TIMUR,1,257025.00,172954.00,"27,4","1 415,60",647108.00,2014
KALIMANTAN BARAT,1,36823.00,323959.00,"26,8","2 755,10",135461.00,2014
KALIMANTAN TENGAH,1,2594.00,215545.00,"27,4","2 853,90",8138.00,2014
KALIMANTAN SELATAN,1,20862.00,431437.00,"26,8","2 371,00",117986.00,2014
KALIMANTAN TIMUR,1,2873.00,55485.00,"27,7","2 422,30",7567.00,2014
KALIMANTAN UTARA,1,581.00,21775.00,"27,4","2 654,60",1235.00,2014
SULAWESI UTARA,1,127475.00,60475.00,"26,6","2 835,00",488362.00,2014
SULAWESI TENGAH,1,41647.00,141448.00,"26,7","705,1",170203.00,2014
SULAWESI SELATAN,1,289736.00,623139.00,"27,2","2 739,00",1490991.00,2014
SULAWESI TENGGARA,1,24022.00,96826.00,"26,8","2 263,60",60600.00,2014
GORONTALO,1,148816.00,32116.00,"26,7","1 404,30",719780.00,2014
SULAWESI BARAT,1,24341.00,62312.00,"27,9","1 096,80",110665.00,2014
MALUKU,1,3795.00,13519.00,"26,6","2 593,00",10568.00,2014
MALUKU UTARA,1,6462.00,10516.00,27,"1 811,00",19555.00,2014
PAPUA BARAT,1,1421.00,9587.00,"27,5","2 824,60",2450.00,2014
PAPUA,1,3076.00,42843.00,"28,1","2 731,00",7282.00,2014
ACEH,2,42784.00,294129.00,"27,1","2 264,40",63352.00,2014
SUMATERA UTARA,2,5024.00,433043.00,"27,9","2 148,00",5705.00,2014
SUMATERA BARAT,2,785.00,225890.00,"25,7","2 838,40",911.00,2014
RIAU,2,2030.00,87594.00,"27,2","2 343,70",2332.00,2014
JAMBI,2,5288.00,101195.00,"27,2","1 781,00",6800.00,2014
SUMATERA SELATAN,2,7237.00,616753.00,"24,2","1 668,30",12550.00,2014
BENGKULU,2,5375.00,88756.00,"26,9","3 323,00",5715.00,2014
LAMPUNG,2,11362.00,363055.00,"25,8","1 682,50",13777.00,2014
KEP. BANGKA BELITUNG,2,3.00,7490.00,"27,2","1 675,00",3.00,2014
KEP. RIAU,2,17.00,405.00,"27,1","3 064,00",18.00,2014
