PROVINSI,JENIS_TANAMAN,LUAS_PANEN(Hektar),LUAS_SAWAH(Hektar),SUHU(C),CURAH_HUJAN(mm),PRODUKSI(ton),TAHUN
JAWA TENGAH,0,1635922.00,996197.00,"29,48","2 473,60",8512555.00,2004
DI YOGYAKARTA,0,132869.00,56982.00,"29,42","1 834,30",692998.00,2004
JAWA TIMUR,0,1697024.00,1108361.00,"30,28","2 002,20",9002025.00,2004
BANTEN,0,364721.00,196589.00,"29,63","1 353,70",1812495.00,2004
BALI,0,144146.00,81557.00,"29,4","2 089,60",788360.00,2004
NUSA TENGGARA BARAT,0,325984.00,222968.00,"30,09","1 876,20",1466757.00,2004
NUSA TENGGARA TIMUR,0,183728.00,109070.00,"28,93","1 886,50",552205.00,2004
KALIMANTAN BARAT,0,365218.00,283021.00,"28,58","3 160,60",1060652.00,2004
KALIMANTAN TENGAH,0,229003.00,167776.00,"27,87","3 026,20",590434.00,2004
KALIMANTAN SELATAN,0,443508.00,423884.00,"27,95","2 773,20",1519432.00,2004
KALIMANTAN TIMUR,0,141348.00,89769.00,"29,43","2 293,40",486167.00,2004
KALIMANTAN UTARA,0,-,-,,,-,2004
SULAWESI UTARA,0,92439.00,59393.00,"28,56","3 470,50",407358.00,2004
SULAWESI TENGAH,0,181705.00,120049.00,"28,03","2 218,70",725725.00,2004
SULAWESI SELATAN,0,772773.00,626634.00,"28,05","3 053,90",3552835.00,2004
SULAWESI TENGGARA,0,84888.00,69432.00,"28,36","2 125,10",322362.00,2004
GORONTALO,0,37741.00,25955.00,"29,29","1 816,30",163094.00,2004
SULAWESI BARAT,0,-,-,"29,46","1 870,60",-,2004
MALUKU,0,11160.00,8542.00,"29,13","2 358,60",36148.00,2004
MALUKU UTARA,0,15216.00,11867.00,"28,05","2 024,50",51800.00,2004
PAPUA BARAT,0,-,6290.00,"28,91","2 126,20",-,2004
PAPUA,0,19954.00,36021.00,"28,44","2 431,00",63367.00,2004
